"Database host","Värd för databas"
"Host","Värd"
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Vänligen se till att <code>mod_rewrite</code> är aktiverad i konfigurationen för Apache."
"Please note that it is much less stable than beta.","Vänligen observera att det är mycket mindre stabilt än en beta."
"Please set all required settings before clicking Continue","Vänligen ange samtliga obligatoriska inställningar innan du klickar på Fortsätt."
"Welcome","Välkommen"
"Choose this if you would like to test frontend and backend functionality.","Välj detta om du önskar testa funktionaliteten för administrations- och kunddelen."
"The URL ""%s"" is not accessible.","URL:en ""%s"" är inte nåbar."
"Provide a complete base URL for SSL connection. For example: %s","Tillhandahåll en komplett bas-URL för SSL-kopplingar. Exempelvis: %s"
"Time Zone","Tidszon"
"Locale settings","Språkinställningar"
"Locale","Språk"
"Save Session Data In","Spara sessiondata i"
"Create Admin Account","Skapa konto för administratör"
"Setting preferred state to: %s","Sätter föredraget tillstånd till: %s"
"Secure Base URL","Säker bas-URL"
"Report All Bugs","Rapportera alla buggar"
"Having trouble installing Magento?","Problem med att installera Magento?"
"Tables Prefix","Prefix för tabeller"
"Personal Information","Personlig information"
"If your server is running on MS Windows, most probably you will not need to change anything.","On din webbserver körs på MS Windows, behöver du troligen inte ändra på något alls."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Om du kör PHP som CGI, kan dina PHP-processer köras under samma användare som den du använda när du laddade upp Magento-filerna till webbservern."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Om du inte önskar eller inte har möjlighet att ha Magento-katalogerna som skrivbara för webprocessen, så kan du använda dig av den PEAR-exekverbara som finns i Magentos rotkatalog."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Om du har laddat ner den kompletta versionen av Magento eller installerat Magento genom SVN, då bör du hoppa över installationen och valideringen av paketer genom att klicka på knappen nedan."
"If you are a developer and would like to have the latest public updates, choose this option.","Om du är en utvecklare och vill ha de senaste publika uppdateringarna, välj detta alernativ."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Om du önskar att hantera Mangeto-paket genom Magentos administratördel, måste du ändra på rättigheterna för alla kataloger och filer som tillhör Magento så att de är skrivbara."
"Required Fields","Obligatoriska fält"
"After successfull installation please click the button below.","När installationen har avslutats, vänligen klicka på knappen nedan."
"Manual Downloads and Upgrades","Manuella nerladdningar och uppgraderingar"
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Mangeto använder denna nyckel för att kryptera lösenord, bankkort, etc. Om detta fält lämnas tomt kommer systemet att skapa en krypteringsnyckel åt dig och kommer att visa den på nästa sida."
"Magento","Magento"
"Localization","Lokalisering"
"License Agreement","Licensavtal"
"Downloading and installing Magento, please wait...","Laddar ner och installerar Magento, vänligen vänta..."
"Download Magento Core Modules and Updates","Ladda ner moduler och uppdateringar för Magento-kärnan"
"Download","Ladda ner"
"Password","Lösenord"
"Encryption Key","Krypteringsnyckel"
"Configuration","Konfiguration"
"Check out our","Kolla in vår"
"Run this in your shell from Magento root folder:","Kör detta in ditt skal under Magentos rotkatalog:"
"Run admin interface with SSL","Kör administrationsdelen genom SSL"
"Magento Installation Wizard","Installationsguide för Magento"
"Installation Guide","Installationsguide"
"Full Download / SVN Installation","Installation genom full nerladdning / SVN"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Innan du fortsätter till din butik, vänligen skriv ner din krypteringsnyckel (Magento använder den för att kryptera lösenord, bankkort och mer)."
"Login Information","Information om inloggning"
"Skip Secure URL validation before next step","Hoppa över validering av säker URL innan nästa steg"
"Help Us to Keep Magento Healthy","Hjälp oss att förbättra Magento"
"Package Management through the Web","Hantering av paket genom webben"
"Go to Frontend","Gå till kunddelen"
"Go to Backend","Gå till administrationsdelen"
"Get ready to experience Open-Source eCommerce Evolved.","Gör det redo att uppleva nästa generations öppen källkod e-handel."
"Continue Full Download / SVN Installation","Fortsätt med installation genom full nerladdning / SVN"
"Proceed With Automatic Download (%s)","Fortsätt med automatisk nerladdning (%s)"
"Continue After Manual Download","Fortsätt efter manuell nerladdning"
"Continue","Fortsätt"
"File System","Filsystem"
"Default Currency","Förvald valuta"
"First Name","Förnamn"
"Preferred stability: %s","Föredragen stabilitet: %s"
"Currently this is the most stable state available for Magento packages.","För närvarande är detta det mest stabila tillståndet för Magento-paket."
"Email Address","Epostadress"
"Last Name","Efternamn"
"Email","E-post"
"You're All Set","Du är klar"
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","Det uppstod ett fel med att installera Magento paketen. Vänligen läs loggarna, korrigera felen och försök igen senare."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Det kan hända att du måste ändra på rättigheterna för Magento-filer så att de är skrivbara av användaren som webbserverprocessen körs under."
"Database Name cannot be empty.","Databasnamn får inte vara tomt."
"Database Name","Databasnamn"
"Database Connection","Databaskoppling"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Bocka endast för denna ruta om det inte är möjligt att automatiskt validera säkra URL:er, exempelvis om HTTP-verifiering krävs."
"Confirm Password","bekräfta lösenord"
"Password Confirmation","Bekräfta lösenord"
"Database user name","Användarnamn för databas"
"User Name","Användarnamn"
"Username","Användarnamn"
"Database user password","Användarlösenord för databas"
"User Password","Användarlösenord"
"Use Secure URLs (SSL)","Använd säkra URL:er (SSL)"
"Use Web Server (Apache) Rewrites","Använd omskrivningsregler (Apache mod_rewrite)"
"Connection","Anslutning"
"Web access options","Alternativ för webbåtkomst"
"Enable Charts","Aktivera diagram"
"You could enable this option to use web server rewrites functionality for improved search engines optimization.","Aktivera detta alternativ för att använda omskrivningsregler, vilket förbättrar sökmotoroptimeringar"
"Enable this option only if you have SSL available.","Aktivera detta alternativ endast om du har tillgång till SSL."
"(ver. %s)","(ver. %s)"
"(Optional. Leave blank for no prefix)","(Frivilligt. Lämna tomt om inget prefix ska användas)"
"(Make sure you keep it in a safe place.)","(Försäkra dig om att den förvaras på en säker plats.)"
